Filename lefteye_x lefteye_y righteye_x righteye_y nose_x nose_y leftmouth_x leftmouth_y rightmouth_x rightmouth_y
196265.jpg 71 109 105 112 83 138 75 153 104 154 
198741.jpg 69 111 108 111 88 131 69 152 108 152 
201908.jpg 68 111 109 112 86 138 68 151 109 151 
192509.jpg 69 112 108 111 85 133 68 152 109 151 
200681.jpg 71 111 107 110 87 129 74 153 102 153 
186555.jpg 68 111 108 112 90 139 68 152 110 151 
200673.jpg 69 111 108 112 92 136 66 151 112 153 
194384.jpg 69 111 108 112 85 139 71 152 107 152 
185311.jpg 69 112 108 112 87 133 66 152 110 151 
201359.jpg 69 110 107 112 79 139 68 152 110 152 
199796.jpg 69 111 108 112 81 138 68 152 109 151 
185959.jpg 70 111 107 111 83 133 74 154 103 153 
191778.jpg 68 106 105 115 72 145 73 150 111 156 
188867.jpg 69 111 108 111 91 138 68 152 109 152 
185339.jpg 69 111 108 112 85 134 70 151 108 152 
199750.jpg 70 110 107 112 78 134 68 151 110 154 
189819.jpg 68 111 109 112 88 139 67 151 110 151 
188188.jpg 69 110 107 112 79 139 69 153 110 152 
191874.jpg 70 107 104 113 74 132 76 152 106 156 
198772.jpg 69 111 107 112 85 136 70 152 108 152 
187637.jpg 68 111 108 112 86 138 68 151 111 151 
190680.jpg 68 112 109 112 86 143 64 150 113 151 
193804.jpg 71 111 106 110 87 132 73 153 103 154 
184308.jpg 68 112 109 111 91 143 68 152 109 151 
194882.jpg 68 111 108 112 87 135 67 152 111 151 
189287.jpg 68 111 109 112 83 139 69 151 109 151 
145407.jpg 67 113 110 111 90 146 64 151 112 150 
037897.jpg 70 111 107 111 85 142 73 153 104 153 
066446.jpg 70 111 107 110 83 135 74 152 102 154 
140241.jpg 70 110 106 111 96 133 74 153 104 153 
009562.jpg 70 111 107 111 85 137 73 152 104 154 
098800.jpg 70 111 107 111 86 137 71 154 106 151 
007480.jpg 71 111 106 110 88 140 73 153 103 153 
015423.jpg 70 111 107 111 94 134 73 154 104 152 
010457.jpg 68 112 109 112 91 140 73 149 104 152 
061880.jpg 71 111 106 110 79 136 75 153 102 154 
038048.jpg 65 111 111 115 87 144 69 148 111 149 
065501.jpg 71 111 106 110 80 138 72 154 105 153 
015236.jpg 69 111 108 111 91 140 74 152 103 152 
035099.jpg 69 110 108 112 83 145 68 153 111 151 
065006.jpg 68 110 107 112 80 144 69 152 110 152 
026540.jpg 74 111 105 108 106 139 76 156 98 154 
085193.jpg 70 111 107 111 88 140 73 152 104 153 
149940.jpg 69 108 105 113 76 141 79 151 103 155 
010677.jpg 70 112 108 111 85 134 73 152 102 152 
093236.jpg 70 110 106 111 91 137 72 153 106 153 
024974.jpg 68 110 108 113 80 145 70 151 109 153 
065720.jpg 71 111 107 110 84 134 70 152 105 154 
137791.jpg 74 113 106 107 72 131 72 154 100 155 
048708.jpg 69 112 108 111 83 140 67 152 110 151 
055045.jpg 71 112 107 109 97 138 74 155 101 151 
157519.jpg 69 112 109 111 89 146 71 154 105 149 
052400.jpg 70 111 107 111 89 141 73 153 104 153 
092053.jpg 72 109 104 111 83 138 76 154 102 156 
109646.jpg 69 112 108 111 85 138 68 153 108 151 
023699.jpg 71 110 106 110 100 136 74 154 103 154 
044012.jpg 69 111 108 111 90 134 71 151 106 153 
005457.jpg 70 111 107 111 95 130 72 153 104 152 
039977.jpg 70 112 108 110 99 137 65 154 110 150 
120795.jpg 68 112 109 111 89 137 68 151 108 152 
145321.jpg 70 111 107 111 92 137 73 153 104 152 
087773.jpg 71 111 107 110 86 133 72 154 105 153 
092099.jpg 70 111 107 111 80 134 74 153 103 153 
043764.jpg 71 110 106 110 80 135 76 154 101 154 
034979.jpg 70 111 107 111 86 130 74 154 103 152 
051283.jpg 70 111 107 111 89 138 74 152 103 153 
103137.jpg 73 111 105 108 102 136 73 157 101 154 
142443.jpg 70 110 106 111 93 130 75 153 103 153 
117786.jpg 69 110 107 112 73 134 69 151 110 154 
141234.jpg 69 111 108 112 91 131 66 152 112 152 
138811.jpg 69 111 107 111 88 133 73 153 105 152 
082493.jpg 68 111 108 112 89 130 68 152 109 151 
016985.jpg 71 111 106 111 100 130 71 153 106 154 
147458.jpg 70 111 107 110 89 138 73 153 103 153 
152224.jpg 71 112 107 110 84 135 74 154 101 153 
087952.jpg 73 109 103 110 70 134 75 155 103 157 
096564.jpg 70 110 106 111 82 133 74 154 104 153 
033048.jpg 78 108 100 107 106 134 78 161 99 158 
019118.jpg 71 111 106 110 84 138 73 154 103 154 
133374.jpg 70 111 108 111 84 134 73 152 104 152 
000195.jpg 70 112 108 111 96 133 70 152 106 153 
016708.jpg 69 111 108 111 88 136 72 151 104 153 
017968.jpg 69 113 110 110 80 126 71 149 103 153 
050930.jpg 70 110 106 111 97 134 75 153 104 154 
067798.jpg 71 110 106 111 90 130 75 154 102 154 
061642.jpg 71 112 107 110 82 133 71 153 104 153 
168784.jpg 70 111 107 111 87 135 74 152 102 154 
170322.jpg 70 111 107 111 91 136 76 152 102 153 
177076.jpg 71 110 106 111 77 134 74 154 103 154 
171366.jpg 71 110 105 111 76 134 72 153 106 155 
165895.jpg 72 111 106 109 97 135 73 156 102 153 
168273.jpg 69 112 108 111 87 134 66 152 110 151 
179569.jpg 70 112 107 110 82 134 72 153 104 152 
180094.jpg 68 112 109 111 83 139 66 152 110 151 
167724.jpg 71 110 105 111 78 137 72 155 106 152 
173991.jpg 68 112 109 112 84 133 67 151 110 150 
165040.jpg 70 111 107 111 90 132 74 153 102 152 
176019.jpg 72 110 105 110 100 133 75 155 101 154 
181271.jpg 71 112 107 110 84 130 72 156 103 151 
174694.jpg 70 110 107 111 98 132 73 152 105 154 
166704.jpg 70 111 107 111 93 137 74 154 103 152 
173883.jpg 69 111 108 112 87 129 74 152 104 152 
164015.jpg 71 112 107 109 98 135 68 156 105 151 
181342.jpg 70 111 107 110 85 130 73 153 103 152 
176778.jpg 74 111 104 108 74 132 76 156 98 155 
164914.jpg 69 109 106 113 76 139 70 150 111 155 
167048.jpg 67 113 111 112 87 142 65 151 111 149 
176322.jpg 70 112 107 110 85 133 73 154 102 152 
179478.jpg 68 112 109 112 87 139 66 151 110 151 
175358.jpg 70 112 108 110 86 132 73 153 102 152 
165351.jpg 69 112 109 111 94 139 67 153 108 150 
163365.jpg 71 111 106 110 96 133 74 154 102 153 
171652.jpg 68 112 109 112 86 140 65 151 112 150 
169976.jpg 71 111 107 110 86 131 74 153 102 154 
177760.jpg 73 105 101 112 106 131 82 156 101 158 
173095.jpg 70 111 107 111 92 130 74 152 103 153 
152874.jpg 69 112 109 111 96 139 71 151 104 152 
043729.jpg 70 112 108 111 79 138 72 152 104 152 
142568.jpg 68 111 109 112 81 140 69 150 108 153 
013745.jpg 69 111 108 111 88 128 75 151 102 153 
012390.jpg 69 112 109 110 82 133 69 152 106 151 
117031.jpg 68 112 110 111 86 137 69 150 107 151 
067096.jpg 67 111 109 113 87 132 78 151 100 151 
008762.jpg 68 113 110 111 91 140 69 151 106 150 
114088.jpg 69 112 108 111 88 136 72 152 104 152 
144548.jpg 67 113 110 111 91 140 66 150 110 150 
057138.jpg 67 112 110 113 83 144 70 150 108 151 
033928.jpg 69 110 107 112 95 132 74 152 104 153 
101455.jpg 69 112 108 112 83 137 69 151 108 151 
114199.jpg 72 111 106 109 74 134 74 155 100 153 
094104.jpg 67 113 111 111 93 143 67 150 108 150 
132391.jpg 68 111 108 112 95 129 73 151 105 152 
013872.jpg 69 113 109 110 84 132 72 152 103 151 
042181.jpg 70 111 107 111 97 138 75 153 101 152 
121340.jpg 69 111 107 111 82 136 75 152 102 153 
074435.jpg 70 112 108 110 85 129 73 152 102 152 
026361.jpg 69 112 109 111 88 132 73 152 103 151 
128341.jpg 67 110 109 114 99 128 73 148 108 153 
077022.jpg 68 112 109 111 85 139 72 151 104 152 
154080.jpg 66 111 110 113 86 138 74 150 105 150 
028719.jpg 68 112 110 112 94 140 67 151 109 150 
074662.jpg 71 113 108 109 78 135 71 153 102 152 
135784.jpg 69 111 108 111 84 138 73 152 105 153 
063925.jpg 69 111 107 111 92 130 77 152 100 153 
004535.jpg 68 112 109 111 91 139 70 152 106 151 
077318.jpg 67 113 110 112 87 142 67 151 109 150 
041635.jpg 69 111 108 111 87 126 74 152 103 151 
049074.jpg 68 112 109 111 92 131 74 152 103 150 
102447.jpg 70 111 107 110 82 132 75 154 101 152 
156107.jpg 68 111 108 112 90 131 73 151 105 152 
087483.jpg 68 112 109 112 84 137 69 150 108 151 
041466.jpg 68 111 109 112 91 137 72 152 106 150 
122047.jpg 68 111 109 112 87 137 71 152 106 150 
040273.jpg 68 112 109 112 84 135 69 150 108 152 
081583.jpg 68 110 108 113 80 138 70 150 109 152 
123864.jpg 68 112 109 112 90 138 72 151 105 150 
040982.jpg 69 112 108 111 83 129 74 153 102 151 
010555.jpg 69 111 107 112 92 131 77 151 101 153 
159601.jpg 67 111 109 113 82 140 70 149 109 152 
075059.jpg 68 111 108 112 88 138 72 152 106 151 
155013.jpg 69 111 108 112 89 134 75 152 103 152 
032183.jpg 71 112 107 110 97 133 72 154 103 152 
135537.jpg 67 112 109 112 91 141 68 151 110 150 
031573.jpg 69 111 108 112 88 131 72 152 106 152 
155518.jpg 68 111 108 113 86 135 72 151 106 151 
010466.jpg 70 111 107 111 84 133 76 153 101 152 
004160.jpg 68 112 109 111 92 137 69 151 107 151 
079842.jpg 68 112 109 112 92 136 69 151 108 150 
062569.jpg 67 112 110 112 91 140 68 151 109 149 
002410.jpg 68 113 110 112 91 140 68 151 108 150 
119200.jpg 68 111 108 113 83 136 71 151 108 152 
030805.jpg 68 111 108 112 90 128 74 151 103 151 
035287.jpg 72 110 105 110 77 131 76 155 101 154 
124511.jpg 68 111 109 112 88 140 67 150 111 151 
024833.jpg 68 111 108 112 83 136 70 150 108 153 
109377.jpg 68 112 109 112 90 132 71 151 106 151 
041755.jpg 68 112 109 112 92 136 71 152 105 151 
133328.jpg 70 110 107 112 98 130 75 152 104 153 
141706.jpg 69 111 108 112 87 137 72 152 105 152 
006283.jpg 68 109 107 114 100 126 77 151 104 153 
098346.jpg 69 113 109 111 93 139 68 152 107 150 
131752.jpg 67 112 109 112 86 139 69 151 108 150 
154379.jpg 70 111 107 110 85 130 74 153 102 153 
109645.jpg 69 111 108 112 95 137 71 153 106 150 
126997.jpg 69 111 108 111 90 131 75 151 102 153 
119750.jpg 68 110 108 112 82 137 73 151 106 153 
066082.jpg 70 110 106 112 79 139 74 153 106 153 
041037.jpg 71 112 107 109 79 131 73 153 102 153 
084698.jpg 68 112 109 112 89 139 69 151 108 150 
073232.jpg 69 111 108 111 89 139 72 152 105 152 
121157.jpg 69 111 108 111 91 137 74 152 103 152 
126303.jpg 69 111 108 112 82 138 72 152 106 152 
000436.jpg 68 112 109 112 91 139 69 151 107 150 
069889.jpg 68 111 108 112 91 136 72 151 106 151 
098366.jpg 68 112 109 112 96 138 68 151 108 150 
035170.jpg 68 112 109 112 86 139 69 151 108 150 
082250.jpg 68 111 109 112 84 142 70 150 108 152 
038293.jpg 69 111 108 112 98 136 72 153 106 151 
067209.jpg 68 110 108 113 80 141 71 150 108 153 
151828.jpg 68 112 109 112 91 141 70 151 107 151 
028828.jpg 70 111 107 111 87 133 73 152 104 153 
087662.jpg 68 112 109 112 91 139 71 151 106 151 
090922.jpg 71 111 106 110 84 130 74 153 102 154 
132701.jpg 69 111 108 111 86 137 72 151 105 153 
145516.jpg 69 112 108 111 95 139 72 152 105 151 
137018.jpg 68 111 109 112 84 140 70 151 107 151 
047973.jpg 69 112 108 111 86 136 72 152 104 153 
116258.jpg 69 111 108 112 95 137 69 152 108 151 
010523.jpg 70 111 107 110 91 131 74 153 103 153 
159421.jpg 70 111 107 111 90 136 75 152 102 153 
141740.jpg 69 111 108 111 84 136 72 153 104 152 
009038.jpg 69 111 108 111 94 137 71 152 105 152 
154186.jpg 69 113 109 110 95 137 67 152 108 150 
141886.jpg 69 112 108 111 90 135 72 152 104 152 
033901.jpg 69 112 108 111 90 136 72 152 104 152 
096371.jpg 69 110 107 112 90 134 74 152 104 152 
105894.jpg 69 112 108 111 85 137 73 152 104 152 
115549.jpg 69 111 108 112 85 138 67 151 110 152 
076915.jpg 70 111 107 111 82 138 72 152 105 153 
088651.jpg 69 111 108 111 90 133 73 152 104 152 
114323.jpg 68 112 109 112 88 139 68 151 109 151 
142444.jpg 70 112 108 111 89 135 72 153 104 152 
037799.jpg 68 111 109 112 90 138 70 151 107 151 
094940.jpg 69 112 108 111 94 140 72 152 104 152 
049423.jpg 69 111 108 111 91 135 73 153 104 152 
154483.jpg 70 111 107 111 88 135 76 153 101 152 
011956.jpg 69 112 108 111 89 135 75 151 102 152 
061372.jpg 70 111 107 111 89 136 74 153 103 152 
155410.jpg 70 112 107 110 82 135 72 153 103 153 
158260.jpg 69 112 109 111 92 139 72 151 104 151 
127513.jpg 69 112 108 111 81 134 68 151 109 152 
159497.jpg 70 112 108 111 88 134 72 153 104 152 
069496.jpg 70 111 108 111 88 137 73 152 103 152 
043006.jpg 69 112 108 111 92 138 73 152 103 152 
000124.jpg 71 111 107 110 96 137 74 154 102 152 
007542.jpg 70 111 108 111 86 135 73 152 103 153 
135832.jpg 70 110 106 111 89 132 74 153 104 153 
134896.jpg 69 112 108 111 86 131 71 153 105 152 
072722.jpg 70 110 106 111 89 132 74 153 103 154 
115301.jpg 68 112 109 112 88 127 73 152 104 150 
021993.jpg 68 110 108 113 92 126 74 151 105 152 
001894.jpg 71 111 106 110 86 137 74 152 103 154 
135347.jpg 70 111 107 111 88 131 73 153 104 153 
092877.jpg 69 111 108 111 90 126 72 152 105 152 
056477.jpg 69 111 108 111 87 131 74 152 103 152 
036720.jpg 71 110 106 111 80 132 77 153 101 154 
004903.jpg 72 111 106 109 86 126 72 154 103 153 
110335.jpg 72 105 101 114 101 126 79 155 106 157 
086884.jpg 70 110 106 111 88 131 74 154 104 153 
096030.jpg 69 110 107 112 90 128 73 152 106 152 
038726.jpg 70 111 107 111 93 132 74 152 103 154 
136548.jpg 69 112 108 111 89 128 71 152 105 152 
150339.jpg 69 111 108 112 89 127 73 152 104 153 
025059.jpg 69 111 108 111 84 132 71 151 106 153 
134107.jpg 69 111 108 111 85 127 72 153 104 151 
070466.jpg 70 111 107 111 87 133 73 153 104 153 
090041.jpg 70 111 107 111 89 134 75 153 102 152 
113607.jpg 68 112 109 111 86 130 72 151 105 151 
054367.jpg 69 110 107 112 88 132 75 153 104 152 
083244.jpg 70 111 107 111 88 130 72 152 105 153 
127069.jpg 67 111 109 113 91 123 73 150 105 151 
097382.jpg 70 111 107 111 88 133 72 152 105 154 
129788.jpg 71 110 106 111 80 134 76 152 102 155 
123230.jpg 70 111 107 111 87 127 72 153 104 152 
023595.jpg 71 112 107 109 80 132 72 152 103 154 
148387.jpg 70 111 107 111 88 133 74 153 103 153 
